Accession,T37.0,T47.4,T51.0,T53.9,T56.8,T59.9,T62.5,T65.6,T69.0,RSD
SLC2A5,0.9999,0.8074,0.8105,0.7413,0.6403,1.2328,1.1854,0.9856,0.819,0.0
SLC30A1,0.9999,0.8718,0.7143,0.751,0.7564,0.9967,0.8296,0.5175,0.4093,0.0
SLC31A1,0.9999,0.7796,0.7777,0.7165,0.5826,0.6583,0.4365,0.3416,0.342,0.0
SLC38A1,0.9999,0.9641,0.9919,1.0382,1.0397,1.0624,0.7489,0.1829,0.1333,0.0
SLC38A2,0.9999,0.9054,0.8726,0.8776,0.8339,0.9242,0.9981,0.9617,0.7791,0.0
SLC38A5,0.9999,0.9046,0.8458,0.8153,0.6938,0.5441,0.1499,0.0791,0.0678,0.0
SLC39A14,0.9999,0.9534,0.877,0.8425,0.7891,0.9221,0.8204,0.6328,0.6665,0.0
SLC39A6,0.9999,0.8699,0.8315,0.7853,0.7238,0.8152,0.5918,0.3634,0.343,0.0
SLC40A1,0.9999,0.8797,0.7527,0.7675,0.7129,0.8318,0.6282,0.4216,0.3394,0.0
SLC43A1,0.9999,0.8538,0.7308,0.7281,0.7393,0.8188,0.4519,0.0879,0.0956,0.0
