Accession,logFC,-logPval,-logAdjPval,V_log2.i._TMT_1,V_log2.i._TMT_2,V_log2.i._TMT_3,V_log2.i._TMT_4,V_log2.i._TMT_5,D_log2.i._TMT_6,D_log2.i._TMT_7,D_log2.i._TMT_8,D_log2.i._TMT_9,D_log2.i._TMT_10,D_log2.i._TMT_11
A2AW05,-0.0183,0.0656,0.0001,570229.7616995826,602306.4358776872,673467.5546853428,586995.2513278476,500027.0347277504,462366.7562453936,689808.281700519,553262.2057934874,653533.7137969363,486034.82300857286,632385.0067060494
Q8R2R3,0.0114,0.0658,0.0001,610778.0737369029,619980.1965714181,637118.9178368163,618579.643028665,645418.3745586635,601362.0750820633,597599.497967653,629301.6851980408,631558.9082505421,686504.5558858454,642906.4992684865
E9PV86,0.0173,0.0874,0.0001,669843.2621024472,674101.1587715773,763539.0301590967,713737.0691230106,628562.674644203,681085.9086509685,783797.3051275305,675052.8180863605,732860.7530245222,605142.4842849676,713737.0691230106
P63248,-0.0222,0.1126,0.0001,5137201.43090172,6002813.896218923,4732741.6090950025,5508485.508539938,4535868.980282875,5951124.57423451,4552175.17949546,4822335.184355838,4981576.287636285,5400631.731526965,4934382.626264293
Q6PCN3,0.0158,0.0986,0.0001,4097221.2128312043,3737082.541232194,4161386.031176948,4249912.146341428,3860567.8552385033,3936445.9887894304,4687067.083217648,3904432.052092077,4241075.195123768,3761336.54419319,3872020.805435269
D3Z316,-0.0232,0.1082,0.0001,2252672.1260706536,2463775.5879480042,2120668.215910555,2458462.772429005,2902776.457815989,2557112.097444347,1996425.9159467556,2509777.3970441255,2330746.2757304623,2661822.606632037,2351546.3081987663
Q8CE96,0.0107,0.0625,0.0001,1457785.594928688,1538391.3905223352,1420346.4580140929,1534144.7052608938,1656516.3733195039,1637698.3578402326,1423987.4705396802,1588013.990613776,1546509.2670269446,1516826.0668466813,1486238.6674726491
B8JJC1,0.0186,0.0725,0.0001,200927.375850042,171650.8959341478,204024.26436173014,188985.5768017762,170294.44734524778,181976.9799684596,216295.2476359923,194557.1671134526,195822.80454996778,180840.5960030804,168511.0612549341
F6UIS1,0.0248,0.1022,0.0001,222931.46188873213,241918.90472256797,213908.8354506936,227620.76748198934,221406.73820343232,259335.87140127266,189606.8667769983,237163.72961066244,215615.4171087555,248848.13289777836,226735.73511056945
Q8K0X8,0.0097,0.0621,0.0001,1609984.2358550564,1642037.8999514065,1580250.5764358726,1602255.3172649327,1569052.5670063975,1619791.5675631717,1508191.5250570045,1659964.1083117023,1581448.3726216473,1722373.3220936824,1581448.3726216473
H3BIW6,-0.0094,0.0714,0.0001,5355976.69979131,5470325.689954535,5665775.9432307575,5810113.482979031,5403905.51792983,5108342.7815136295,5860321.575241175,5321845.602630786,5614121.862482479,5490435.381632478,5650051.798873364
Q6PD03,0.011,0.0662,0.0001,2938692.124262684,2816403.3378046015,2481539.987224361,2645699.847489416,2868655.9124296485,2824030.6258502454,2534272.2120550564,2929716.817910892,2883022.694668945,2780898.57285902,2681590.562888084
D3Z5I6,0.0135,0.073,0.0001,3294352.7222572197,2862783.241190488,3604378.0766696907,3393144.8833724037,2950267.286668475,3128468.773358209,3702884.46395184,3111606.620562216,3338729.1698927796,3071774.0657134806,3160849.3044896773
P17426,-0.0096,0.0841,0.0001,175759801.01402143,167011716.45087475,182270430.22508568,175759801.01402143,164110099.09605053,164110099.09605053,181639044.22284654,171518038.7123476,177092422.49066237,162702431.01831287,174359185.94533485
Q9D1I5,0.0099,0.048,0.0001,4794286.46995789,5021932.297841755,4475074.345700249,4777967.003854764,6415391.299998688,5328348.790925265,4575916.602624377,5165204.102945556,5072795.219413126,5225238.599935169,5429509.290377799
Q99LC5,0.0075,0.0654,0.0001,33189777.673652757,33471912.028016336,32774401.781059377,31430686.965899825,32846962.33126382,31721567.653777972,31246019.89885902,33946972.62460478,32774401.781059377,33880711.90953064,33996582.00393879
Q3UR97,-0.0208,0.074,0.0001,148174.40318082235,123861.16223004271,161321.179782294,147682.81611705778,150732.8697865071,163944.56062628172,123861.16223004271,145848.44622489353,127840.79124450516,156969.3386356985,147208.38227296114
Q9DB75,0.0151,0.097,0.0001,3851236.527541549,3622517.0083398186,3416169.117350164,3727355.869886003,3944184.836906927,3863848.56596411,3981583.847567848,3649184.98411575,3599347.7737948415,4053457.1652634623,3366692.72288226
Q91YJ5,-0.015,0.0417,0.0001,111616.0096989723,108433.36431396825,95190.572917086,114596.67984326495,113022.74629681761,108761.99759562137,77737.29502366766,102519.87945480856,117392.14538695004,139759.39319135007,98724.95369394838
A2AQ17,-0.0357,0.1349,0.0001,309392.1358653191,291393.7400758043,360308.2160134175,247158.02465753074,254905.75717557903,241918.90472256797,312679.5551492406,299224.05370265216,266958.43206510606,273596.1839127182,319406.27786174655
F8VQ40,-0.0176,0.0962,0.0001,837915.0411093483,916329.0896800521,764736.5333881566,849620.2244328005,871661.0283851584,830888.4000793168,950948.4821640451,812503.7229888762,815359.5208701578,801409.1553738414,817772.4388979662
P32020,-0.0154,0.0949,0.0001,40688038.4882884,41557203.17069768,37370709.481167324,40014578.90542928,43197964.03577458,44586445.73476262,33742746.15083615,38657446.810420826,39824604.894957095,41296615.57692908,42777977.817792945
Q9JKB1,0.0114,0.0925,0.0001,35627354.10995194,37318135.4735544,37916279.30783296,36437197.4892295,40014578.90542928,38782518.49448458,34990833.91075008,39089394.25473344,36259140.49818406,38782518.49448458,38713444.94619471
O35633,-0.0112,0.0936,0.0001,36691186.44314021,34611082.843076065,33061185.732897833,33689423.05452141,33996582.00393879,35038222.96511658,35936305.25422795,33689423.05452141,35120814.15413083,32441196.21104449,32708486.424999386
Q9D8B3,-0.0176,0.1058,0.0001,49165594.10049146,52461473.10017013,49070876.26324469,48118444.97570797,56875114.403763324,52683563.722900815,41857678.45081841,52585273.98735031,48656336.991805516,55047238.53037039,52353935.6884004
E9PU93,-0.0168,0.0841,0.0001,511638.78660270886,506958.10810488136,512548.2825230499,480997.3967544378,559100.8171374584,545935.1322213265,433339.32777696376,518232.6214183451,504077.99798007065,513182.09952759865,535792.1342690643
Q9D7I5,0.0184,0.0927,0.0001,1238217.263659484,1276599.5086446397,1055257.944191931,1171194.4020109763,1364463.8117524963,1276599.5086446397,1092786.9401682634,1312632.2339194294,1152737.9738108271,1309426.5084729886,1279522.1875303714
P23953,-0.0126,0.1039,0.0001,7610057.130262766,8208336.495227611,7925926.136746551,7919218.710447025,8721164.309427448,8310810.168134582,7660296.720858903,8181768.363962436,7895758.100076121,7856623.584794484,8150357.9944455605
Q69ZQ1,-0.0092,0.0614,0.0001,1535710.85200569,1516826.0668466813,1569052.5670063975,1542124.0982344795,1523398.3295998124,1563118.8986240947,1565819.827760829,1482123.769234092,1538391.3905223352,1505045.272392009,1514340.6820273856
Q8K0C9,-0.0116,0.0945,0.0001,7716916.8576590195,7716916.8576590195,7360250.010865231,7650151.144425058,8281437.57264103,7974404.218616231,7575630.24302038,7983137.137074105,7687352.155053554,7727350.576385855,7162117.668622716
Q9JKD3,0.0151,0.1053,0.0001,30006440.60946297,30514022.176127166,27802722.664067756,30514022.176127166,33742746.15083615,31792832.426338173,27751220.79527481,31833416.376678325,30651270.21682619,33253146.185176957,29788221.14946504
Q9CWU4,0.0234,0.1246,0.0001,1281156.4556074885,1286797.3511593372,1266291.9670996005,1343892.0959179478,1456366.9304612791,1448057.9113849904,1142181.4054621726,1386228.0943413489,1251060.5514772017,1469830.3040667092,1396048.3405123022
Q9CRT8,-0.0279,0.1186,0.0001,373556.6105479909,361966.73993444233,302005.45888910897,347619.7538877009,413577.64613858407,365004.4372566085,355527.6795421627,342192.6175366915,321353.5558455025,416498.1153995395,316908.6850661664
Q00897,-0.0145,0.1055,0.0001,16661187.182674162,16287340.408382745,16129952.80738414,15231010.169349946,17625864.392831877,16180070.738532068,14316459.112909798,17503819.107920896,16098484.57846916,16579697.487509303,16692999.999155749
Q9JLI8,-0.0109,0.0693,0.0001,1020360.304935993,1033447.0229810661,1004190.9138829227,960585.0977992072,989105.9105000369,964935.11328244,991393.061887842,1005515.6545329127,998989.4692154619,1000334.9480215635,1005515.6545329127
P49443,-0.011,0.0898,0.0001,16180070.738532068,16423536.502648888,16056878.952370655,15337017.373409897,16287340.408382745,15465914.17825342,14474028.586123584,16518046.842165714,15914029.282208268,16518046.842165714,16757696.944308242
Q5SPX8,-0.0154,0.0878,0.0001,1467574.1390939972,1363962.6848189945,1482123.769234092,1332365.7872815954,1335158.8059666783,1240237.8590548693,1494002.386583074,1399069.2879684176,1448888.6066644213,1322192.7408214966,1387781.9529815826
