Accession,T37.0,T44.0,T47.6,T50.5,T53.4,T56.5,T59.1,T62.2,T65.6,RSD
LRRC4B,0.9999,0.9663,0.9058,0.7735,0.6309,0.4343,0.3569,0.2155,0.1215,0.0
LRRC8A,0.9999,1.2032,1.2253,0.7084,0.4019,0.0948,0.0642,0.0689,0.1689,0.0
LRRC8D,0.9999,1.1437,1.0815,0.8382,0.537,0.2402,0.0865,0.1337,0.0768,0.0
LTBR,0.9999,1.0299,0.9483,0.8129,0.691,0.5326,0.5608,0.5252,0.3831,0.0
LYN,0.9999,1.2106,1.0865,0.4697,0.4019,0.2814,0.3295,0.3697,0.4905,0.0
M11S1,0.9999,1.2142,1.362,0.8939,0.529,0.3195,0.2714,0.3081,0.1344,0.0
M6PR,0.9999,1.206,1.3289,1.4177,1.349,1.2403,1.8121,2.7767,4.3287,0.0
MACF1,0.9999,1.0998,1.2519,0.3209,0.2164,0.237,0.1762,0.114,0.1105,0.0
MAGT1,0.9999,1.1211,1.1812,0.7983,0.5312,0.2836,0.1937,0.1006,0.1207,0.0
MAP4,0.9999,1.0977,1.1592,0.7509,0.7489,0.6762,0.888,0.8354,0.4106,0.0
MARCKS,0.9999,1.1742,1.3041,1.0925,1.2969,1.4007,3.4872,2.9667,3.9145,0.0
MDH2,0.9999,1.0832,1.1131,1.0158,0.975,0.7209,0.5636,0.2705,0.0326,0.0
MERTK,0.9999,0.9743,0.7659,0.2971,0.2146,0.1575,0.1661,0.1716,0.1664,0.0
MESDC2,0.9999,1.231,1.2801,1.0254,0.9547,0.7591,0.8085,0.6031,0.4348,0.0
MFGE8,0.9999,1.1895,1.1902,0.9756,0.9078,0.7521,0.7978,0.5617,0.3851,0.0
MFI2,0.9999,1.0359,0.9953,0.8761,0.7956,0.6032,0.5189,0.4649,0.3429,0.0
MGLL,0.9999,1.3611,1.4561,0.8139,0.6078,0.4166,0.2989,0.3348,0.1011,0.0
MIF,0.9999,1.3453,1.5267,0.8092,0.8223,0.6595,0.7459,0.9245,1.5314,0.0
MPDU1,0.9999,1.2216,1.0862,0.6386,0.8539,0.8227,0.9207,0.9062,0.5928,0.0
MPP1,0.9999,1.134,0.6583,0.2895,0.1201,0.0791,0.1396,0.0978,0.0685,0.0
MPZL1,0.9999,1.0781,1.0404,0.9277,0.8859,0.7747,0.7284,0.6405,0.4624,0.0
MRC2,0.9999,0.8603,0.9409,0.8356,0.7085,0.4863,0.3913,0.3069,0.2701,0.0
MSH6,0.9999,1.0635,0.4843,0.1625,0.0934,0.1446,0.1004,0.0946,0.092,0.0
MSN,0.9999,1.2842,1.3112,0.5591,0.1701,0.1157,0.1109,0.1038,0.115,0.0
MYH9,0.9999,1.2356,1.3553,0.8612,0.512,0.1326,0.1138,0.122,0.1334,0.0
