,Accession,Score,Rep1pVal (-log10),Rep1delta_Tm,Rep1Group1_R2,Rep1Group2_R2,Rep1Group1_Tm,Rep1Group2_Tm,Rep1min_Slope,Rep2pVal (-log10),Rep2delta_Tm,Rep2Group1_R2,Rep2Group2_R2,Rep2Group1_Tm,Rep2Group2_Tm,Rep2min_Slope
509,TSPAN14,0.0,0.92,1.61,0.984,0.98,57.64,59.25,-0.044,0.49,0.71,0.979,0.962,57.96,58.67,-0.048
508,TRPV2,0.0,0.414,-0.21,0.967,0.962,55.76,55.55,-0.136,0.537,0.86,0.983,0.994,55.77,56.63,-0.208
507,TRPM4,0.0,0.303,0.16,0.972,0.976,52.16,52.32,-0.094,0.641,1.16,0.977,0.976,52.0,53.16,-0.11
506,TPCN1,0.0,1.381,-2.0,0.878,0.826,64.71,62.71,-0.082,,,0.343,0.41,65.64,65.56,-0.708
505,TPBG,0.0,1.128,-1.64,0.979,0.987,58.0,56.36,-0.066,0.434,0.52,0.996,0.989,57.09,57.61,-0.049
504,TOR2A,0.0,0.458,-0.33,0.933,0.966,52.14,51.81,-0.251,0.395,0.38,0.987,0.982,51.44,51.82,-0.148
503,TNFSF9,0.0,1.858,2.89,0.913,0.801,66.1,68.99,-0.02,0.794,1.55,0.879,0.905,66.29,67.84,-0.02
502,TNFRSF8,0.0,,,0.618,0.403,68.99,57.53,-0.021,0.784,-1.54,0.871,0.865,60.43,58.89,-0.024
501,TNFRSF1B,0.0,,,0.459,0.591,68.99,68.99,-0.008,,,0.533,0.234,68.99,68.99,-0.009
467,SORT1,0.0,0.877,-1.23,0.913,0.897,64.89,63.66,-0.025,2.731,-4.58,0.862,0.933,66.7,62.12,-0.029
465,SNAP29,0.0,0.798,1.39,0.951,0.942,55.47,56.86,-0.046,0.952,-1.92,0.946,0.938,55.52,53.6,-0.056
401,SDCBP,0.0,,,0.574,0.233,65.83,68.99,-0.02,,,0.818,0.337,61.96,68.25,-0.028
432,SLC26A6,0.0,0.507,-0.46,0.821,0.866,58.14,57.68,-0.065,0.625,-1.13,0.885,0.864,59.18,58.05,-0.087
430,SLC25A5,0.0,,,0.0,0.0,37.0,68.99,-0.0,,,0.0,0.067,68.99,68.99,-0.539
429,SLC25A4,0.0,,,0.0,0.0,68.99,37.0,-0.0,,,0.0,0.0,37.0,37.0,0.0
428,SLC25A3,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,68.99,-0.0
427,SLC25A13,0.0,0.364,-0.06,0.929,0.826,64.88,64.82,-0.185,,,0.865,0.719,65.55,65.53,-0.747
426,SLC25A11,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,37.0,68.99,-0.029
425,SLC23A2,0.0,,,0.663,0.516,68.99,68.99,-0.013,,,0.832,0.569,68.99,68.99,-0.024
424,SLC22A4,0.0,,,0.691,0.325,64.38,65.9,-0.151,,,0.377,0.514,68.11,65.48,-0.741
423,SLC22A23,0.0,,,0.794,0.778,68.99,68.99,-0.021,0.434,0.52,0.907,0.87,67.43,67.95,-0.025
422,SLC20A2,0.0,,,0.496,0.297,68.99,68.21,-0.076,,,0.16,0.223,68.99,68.99,-0.09
421,SLC20A1,0.0,,,0.038,0.091,65.63,65.6,-0.318,,,0.252,0.476,68.99,68.99,-0.016
420,SLC1A5,0.0,,,0.836,0.75,68.99,68.99,-0.026,0.647,-1.19,0.904,0.864,66.9,65.71,-0.026
419,SLC1A4,0.0,,,0.744,0.679,68.99,68.99,-0.028,,,0.688,0.789,68.99,68.99,-0.065
418,SLC19A2,0.0,,,0.509,0.638,65.46,60.56,-0.025,,,0.72,0.649,64.42,62.92,-0.121
417,SLC19A1,0.0,0.394,-0.15,0.913,0.891,62.83,62.68,-0.029,0.335,0.14,0.95,0.895,61.17,61.31,-0.034
416,SLC16A1,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,68.99,37.0,-0.0
415,SLC12A7,0.0,0.34,0.02,0.997,0.997,50.02,50.04,-0.125,0.436,0.53,0.999,0.997,49.31,49.84,-0.15
414,SLC12A6,0.0,0.443,-0.29,0.997,0.992,55.96,55.67,-0.124,0.387,0.35,0.995,0.99,55.03,55.38,-0.093
413,SLC12A4,0.0,0.404,-0.18,0.994,0.993,53.3,53.12,-0.102,0.436,0.53,0.998,0.995,53.51,54.04,-0.103
412,SLC12A2,0.0,0.423,0.54,0.957,0.945,55.36,55.9,-0.088,0.737,1.41,0.96,0.967,55.32,56.73,-0.099
411,SLC11A2,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.0,68.99,37.0,-0.0
410,SLAMF6,0.0,,,0.896,0.729,62.8,68.99,-0.02,1.181,2.36,0.96,0.899,60.97,63.33,-0.027
409,SIGLEC10,0.0,0.371,-0.08,0.992,0.979,53.63,53.55,-0.054,0.331,-0.14,0.976,0.976,54.42,54.28,-0.056
408,SERINC3,0.0,,,0.0,0.0,37.0,37.0,0.0,,,0.0,0.01,68.99,68.99,-0.004
407,SERBP1,0.0,0.482,0.7,0.881,0.964,58.26,58.96,-0.072,2.731,-4.58,0.963,0.989,59.69,55.11,-0.07
406,SEPHS1,0.0,,,0.549,0.696,68.99,68.99,-0.023,,,0.205,0.0,68.99,68.99,-0.675
405,SEMA7A,0.0,0.437,0.58,0.997,0.994,51.9,52.48,-0.082,0.322,-0.1,0.999,0.998,52.09,51.99,-0.086
404,SEMA4D,0.0,0.86,-1.2,0.83,0.848,64.15,62.95,-0.155,0.637,1.15,0.973,0.964,62.53,63.68,-0.064
403,SEMA4C,0.0,0.421,-0.23,0.99,0.992,55.64,55.41,-0.07,0.325,0.1,0.987,0.989,55.72,55.82,-0.07
